year,per capita income($)
1973.0,110.1396809
1974.0,168.3200901
1975.0,254.4867417
1976.0,128.8698742
1977.0,117.6116407
1978.0,158.8787814
1979.0,183.2681086
1980.0,208.6664296
1981.0,231.3087511
1982.0,205.9595006
1983.0,193.4999462
1984.0,202.657751
1985.0,230.2201749
1986.0,219.5121528
1987.0,239.596993
1988.0,254.8123549
1989.0,269.0403599
1990.0,287.3966705
1991.0,275.5823708
1992.0,276.5342041
1993.0,284.3553581
1994.0,284.5869649
1995.0,312.6340216
1996.0,372.9626674
1997.0,380.7975683
1998.0,386.4671495
1999.0,389.2317577
2000.0,398.026054
2001.0,393.6922591
2002.0,395.9844385
2003.0,428.2594322
2004.0,457.9049777
2005.0,481.2643933
2006.0,491.7340491
2007.0,543.310657
2008.0,627.3688771
2009.0,695.0669424
2010.0,774.8919807
2011.0,850.6138121
2012.0,876.3789377
2013.0,972.9425027
2014.0,1091.500856
2015.0,1217.843462
2016.0,1360.152445
2017.0,1493.416108
2018.0,1626.320285
2019.0,1777.276295
